technology,parameter,value,unit,source,further description
gas,fuel,22.8,EUR/MWh_th,Ariadne,
oil,fuel,38.0983,EUR2020/MWh,Ariadne,"$2020 = 0.8775 EUR2020, 1bbl = 1.6998MWh"
coal,fuel,6.3472,EUR2020/MWh,Ariadne,"$2020 = 0.8775 EUR2020, 1t = 8.06 MWh"
decentral air-sourced heat pump,investment,1402,EUR2020/kW_th,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA
decentral ground-sourced heat pump,investment,2312,EUR2020/kW_th,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA
electricity distribution grid,investment,1500,EUR2020/kW,oriented towards JRC-EU-TIMES
HVAC overhead,investment,472,EUR2020/MW/km,NEP2021,"Assuming High Temperature Low Sag Cables with higher Amperage"
HVAC overhead,investment,772,EUR2020/MW/km,NEP2023,"Assuming High Temperature Low Sag Cables with higher Amperage"
offwind-ac-connection-submarine,investment,3786,EUR2020/MW/km,NEP2021,"220kv, 1A, 2 circuits, 3 phases, inflation"
offwind-ac-connection-submarine,investment,2488,EUR2020/MW/km,NEP2023,
offwind-ac-connection-underground,investment,3786,EUR2020/MW/km,NEP2021,
offwind-ac-connection-underground,investment,2488,EUR2020/MW/km,NEP2023,
offwind-ac-station,investment,697,EUR2020/kW,NEP2021,"cost of two stations, landseitig and seeseitig"
offwind-ac-station,investment,722,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
HVDC inverter pair,investment,597015,EUR2020/MW,NEP2021+NEP2023
HVDC overhead,investment,995,EUR2020/MW/km,NEP2021+NEP2023
HVDC underground,investment,3234,EUR2020/MW/km,NEP2021,
HVDC underground,investment,2978,EUR2020/MW/km,NEP2023,
HVDC submarine,investment,3234,EUR2020/MW/km,NEP2021,"set equal to HVDC underground"
HVDC submarine,investment,2978,EUR2020/MW/km,NEP2023,"set equal to HVDC underground"
offwind-dc-connection-submarine,investment,1990,EUR2020/MW/km,NEP2021,"DC 525kv seeseitig"
offwind-dc-connection-submarine,investment,2708,EUR2020/MW/km,NEP2023,"DC 525kv seeseitig"
offwind-dc-connection-underground,investment,3234,EUR2020/MW/km,NEP2021,"DC 525kv landseitig"
offwind-dc-connection-underground,investment,3430,EUR2020/MW/km,NEP2023,"DC 525kv landseitig"
offwind-dc-station,investment,746,EUR2020/kW,NEP2021,"cost of two stations, landseitig and seeseitig"
offwind-dc-station,investment,903,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
iron-air battery,FOM,1,%/year,Riepin et al. 2025,"conservative vs. Form Energy datasheet 15-20 USD/kW-yr (~0.7-0.9% of CAPEX)"
iron-air battery,lifetime,17.5,years,Form Energy 2023,"midpoint of module lifetime range 15-20 yr; system lifetime 30-40 yr not used (conservative, ignores repowering NPV 4 USD/kWh)"
iron-air battery charge,efficiency,0.73,per unit,Form Energy 2023,"high end of 69-73% range, optimistic for 2045"
iron-air battery discharge,efficiency,0.62,per unit,Form Energy 2023,"high end of 58-62% range, optimistic for 2045"
iron-air battery inverter,FOM,1,%/year,Riepin et al. 2025,"same as battery (single integrated product per Form Energy)"
iron-air battery inverter,lifetime,17.5,years,Form Energy 2023,"same as battery module"
iron-air battery,investment,2.65,EUR2020/kWh,scaled from 1500 USD/kW total,"split 77:23; USD2023->EUR2020 via 0.9248 FX and 0.853 deflator"
iron-air battery inverter,investment,900,EUR2020/kW,scaled from 1500 USD/kW total,"split 77:23; USD2023->EUR2020 via 0.9248 FX and 0.853 deflator"








































