component,name,bus,carrier,2025,2035,2045
Generator,DE gas primary,DE gas primary,gas primary,166141.1444,121158.00305,20478.39313
Generator,DE oil primary,DE oil primary,oil primary,98614.33046,55654.20303,28226.14503
Generator,DE0 0 0 onwind-2000,DE0 0,onwind,603.60282,,
Generator,DE0 0 0 onwind-2005,DE0 0,onwind,1203.54144,,
Generator,DE0 0 0 onwind-2010,DE0 0,onwind,849.20331,849.20331,
Generator,DE0 0 0 onwind-2015,DE0 0,onwind,1433.39577,1433.39577,
Generator,DE0 0 0 onwind-2020,DE0 0,onwind,1299.00873,1299.00873,1299.00873
Generator,DE0 0 0 onwind-2025,DE0 0,onwind,657.37825,657.37825,657.37825
Generator,DE0 0 0 solar rooftop-2025,DE0 0 low voltage,solar rooftop,0.07625,,
Generator,DE0 0 0 solar-2000,DE0 0,solar,10.61497,10.61497,
Generator,DE0 0 0 solar-2005,DE0 0,solar,180.82695,180.82695,
Generator,DE0 0 0 solar-2010,DE0 0,solar,1484.97851,1484.97851,1484.97851
Generator,DE0 0 0 solar-2015,DE0 0,solar,1975.68811,1975.68811,1975.68811
Generator,DE0 0 0 solar-2020,DE0 0,solar,1345.21473,1345.21473,1345.21473
Generator,DE0 0 0 solar-2025,DE0 0,solar,2613.51873,2613.51873,2613.51873
Generator,DE0 0 0 solar-hsat-2025,DE0 0,solar-hsat,28271.20033,28271.20033,28271.20033
Generator,DE0 0 biogas unsustainable,DE0 0 biogas,unsustainable biogas,7897266.7316,2574282.6805,
Generator,DE0 0 ror,DE0 0,ror,465.04803,465.04803,465.04803
Generator,DE0 0 rural heat vent,DE0 0 rural heat,rural heat vent,0.0051,0.06712,0.7518
Generator,DE0 0 solid biomass transported,DE0 0 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 0 unsustainable bioliquids,DE0 0 unsustainable bioliquids,unsustainable bioliquids,3722438.39775,1213408.26165,
Generator,DE0 0 unsustainable solid biomass,DE0 0 solid biomass,unsustainable solid biomass,13274095.15582,4326974.68887,
Generator,DE0 0 unsustainable solid biomass transported,DE0 0 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 0 urban central heat vent,DE0 0 urban central heat,urban central heat vent,166.78694,0.09562,1.18978
Generator,DE0 0 urban decentral heat vent,DE0 0 urban decentral heat,urban decentral heat vent,0.00391,0.06395,0.88471
Generator,DE0 1 0 offwind-ac-2010,DE0 1,offwind-ac,42.62564,42.62564,
Generator,DE0 1 0 offwind-ac-2015,DE0 1,offwind-ac,1706.62416,1706.62416,
Generator,DE0 1 0 offwind-ac-2020,DE0 1,offwind-ac,2399.82367,2399.82367,2399.82367
Generator,DE0 1 0 offwind-ac-2025,DE0 1,offwind-ac,330.34908,330.34908,330.34908
Generator,DE0 1 0 offwind-dc-2025,DE0 1,offwind-dc,142.89076,142.89076,142.89076
Generator,DE0 1 0 onwind-2000,DE0 1,onwind,1068.90535,,
Generator,DE0 1 0 onwind-2005,DE0 1,onwind,2131.32186,,
Generator,DE0 1 0 onwind-2010,DE0 1,onwind,1503.8332,1503.8332,
Generator,DE0 1 0 onwind-2015,DE0 1,onwind,2538.36522,2538.36522,
Generator,DE0 1 0 onwind-2020,DE0 1,onwind,2300.38252,2300.38252,2300.38252
Generator,DE0 1 0 onwind-2025,DE0 1,onwind,9112.11014,9112.11014,9112.11014
Generator,DE0 1 0 solar rooftop-2025,DE0 1 low voltage,solar rooftop,0.04447,,
Generator,DE0 1 0 solar-2000,DE0 1,solar,20.83422,20.83422,
Generator,DE0 1 0 solar-2005,DE0 1,solar,354.91275,354.91275,
Generator,DE0 1 0 solar-2010,DE0 1,solar,2914.59757,2914.59757,2914.59757
Generator,DE0 1 0 solar-2015,DE0 1,solar,3877.72331,3877.72331,3877.72331
Generator,DE0 1 0 solar-2020,DE0 1,solar,2640.28036,2640.28036,2640.28036
Generator,DE0 1 0 solar-2025,DE0 1,solar,5129.60505,5129.60505,5129.60505
Generator,DE0 1 0 solar-hsat-2025,DE0 1,solar-hsat,0.06244,,
Generator,DE0 1 biogas unsustainable,DE0 1 biogas,unsustainable biogas,13162904.77653,4454540.89813,
Generator,DE0 1 ror,DE0 1,ror,19.03,19.03,19.03
Generator,DE0 1 rural heat vent,DE0 1 rural heat,rural heat vent,0.00521,0.3424,0.7344
Generator,DE0 1 solid biomass transported,DE0 1 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 1 unsustainable bioliquids,DE0 1 unsustainable bioliquids,unsustainable bioliquids,6204438.04564,2099682.66834,
Generator,DE0 1 unsustainable solid biomass,DE0 1 solid biomass,unsustainable solid biomass,22124825.77438,7487400.61174,
Generator,DE0 1 unsustainable solid biomass transported,DE0 1 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 1 urban central heat vent,DE0 1 urban central heat,urban central heat vent,0.0121,0.08456,491.18328
