component,bus,carrier,2025,2035,2045
Generator,DE gas primary,gas primary,232788.82209,137726.7652,26883.78624
Generator,DE oil primary,oil primary,203762.50086,78978.69815,28222.29944
Generator,DE0 0,onwind,2979.6402,8565.17873,11127.10102
Generator,DE0 0,ror,30.4444,30.4444,30.4444
Generator,DE0 0,solar,3824.89063,3825.1547,3733.94922
Generator,DE0 0,solar-hsat,0.50817,0.94912,0.11808
Generator,DE0 0 biogas,unsustainable biogas,4372810.87822,1439918.79077,
Generator,DE0 0 low voltage,solar rooftop,0.28834,5548.82827,5548.82914
Generator,DE0 0 rural heat,rural heat vent,13.44744,16.04035,0.86246
Generator,DE0 0 solid biomass,solid biomass,10000.0,5334994.89268,7949099.06158
Generator,DE0 0 solid biomass,unsustainable solid biomass,7360024.97302,2430282.82631,
Generator,DE0 0 unsustainable bioliquids,unsustainable bioliquids,2061158.58466,678716.97621,
Generator,DE0 0 urban central heat,urban central heat vent,23.70829,6.90066,0.21997
Generator,DE0 0 urban decentral heat,urban decentral heat vent,0.50237,16.32205,0.77165
Generator,DE0 1,onwind,1968.63543,1380.47754,637.13001
Generator,DE0 1,ror,255.4777,255.4777,255.4777
Generator,DE0 1,solar,2353.02422,2353.34467,2297.17342
Generator,DE0 1,solar-hsat,6.18372,16949.74414,16950.55418
Generator,DE0 1 biogas,unsustainable biogas,3404808.32128,1087206.28854,
Generator,DE0 1 low voltage,solar rooftop,0.39233,5836.5699,5836.57242
Generator,DE0 1 rural heat,rural heat vent,4.56025,15.44623,0.7108
Generator,DE0 1 solid biomass,solid biomass,10000.0,4513481.04756,6604445.76211
Generator,DE0 1 solid biomass,unsustainable solid biomass,5732961.01677,1837427.16165,
Generator,DE0 1 unsustainable bioliquids,unsustainable bioliquids,1604883.01369,512463.18154,
Generator,DE0 1 urban central heat,urban central heat vent,12.4702,8.77236,0.26082
Generator,DE0 1 urban decentral heat,urban decentral heat vent,39.55906,15.11582,0.87204
Generator,DE0 10,offwind-ac,172.32776,172.52685,106.09265
Generator,DE0 10,offwind-dc,156.72295,821.87494,821.87497
Generator,DE0 10,onwind,6507.97368,6508.09797,6508.09789
Generator,DE0 10,solar,2602.44021,2602.65775,2540.54799
Generator,DE0 10,solar-hsat,0.29147,0.41223,0.02773
Generator,DE0 10 biogas,unsustainable biogas,1726858.26019,606673.27805,
Generator,DE0 10 low voltage,solar rooftop,0.29261,1738.90205,1738.90279
Generator,DE0 10 rural heat,rural heat vent,10.52112,13.72307,0.65285
Generator,DE0 10 solid biomass,solid biomass,10000.0,1973947.35464,2795068.83433
Generator,DE0 10 solid biomass,unsustainable solid biomass,2912584.10224,1029724.8105,
Generator,DE0 10 unsustainable bioliquids,unsustainable bioliquids,813968.1378,285960.19127,
Generator,DE0 10 urban central heat,urban central heat vent,0.66331,5.78685,0.22551
Generator,DE0 10 urban decentral heat,urban decentral heat vent,0.48679,0.34531,0.02086
Generator,DE0 11,onwind,2346.97971,1645.75634,759.46409
Generator,DE0 11,ror,33.655,33.655,33.655
Generator,DE0 11,solar,2383.4848,2383.73605,2326.84458
Generator,DE0 11,solar-hsat,1.96448,1.91653,0.19007
Generator,DE0 11 biogas,unsustainable biogas,2755978.08431,892723.13192,
Generator,DE0 11 low voltage,solar rooftop,0.32379,4651.18601,4651.18682
Generator,DE0 11 rural heat,rural heat vent,11.01526,22.72944,1.11037
Generator,DE0 11 solid biomass,solid biomass,10000.0,3709723.38061,5398339.33362
Generator,DE0 11 solid biomass,unsustainable solid biomass,4642376.81869,1510530.77902,
Generator,DE0 11 unsustainable bioliquids,unsustainable bioliquids,1299051.81034,420792.02562,
Generator,DE0 11 urban central heat,urban central heat vent,50.16703,458.90145,0.275
Generator,DE0 11 urban decentral heat,urban decentral heat vent,0.49319,31.47565,1.22965
Generator,DE0 12,onwind,644.30728,2406.07916,2406.0791
Generator,DE0 12,ror,16.765,16.765,16.765
Generator,DE0 12,solar,737.56596,737.83057,720.07712
Generator,DE0 12,solar-hsat,1.63337,1772.59152,2536.98245
Generator,DE0 12 biogas,unsustainable biogas,1121763.01999,375330.83721,
Generator,DE0 12 low voltage,solar rooftop,0.29471,1894.81207,1894.81248
Generator,DE0 12 rural heat,rural heat vent,36.17918,24.40298,0.79169
Generator,DE0 12 solid biomass,solid biomass,10000.0,1283360.99371,1906988.45454
Generator,DE0 12 solid biomass,unsustainable solid biomass,1895511.73155,640873.61961,
Generator,DE0 12 unsustainable bioliquids,unsustainable bioliquids,528751.767,176915.12365,
Generator,DE0 12 urban central heat,urban central heat vent,25.14291,6.79602,0.233
Generator,DE0 12 urban decentral heat,urban decentral heat vent,0.48689,3.24875,0.99609
Generator,DE0 13,onwind,1834.46028,6850.55809,6850.55988
Generator,DE0 13,ror,39.205,39.205,39.205
Generator,DE0 13,solar,2317.89878,2318.19284,2262.81683
Generator,DE0 13,solar-hsat,0.86451,2.64274,0.20255
Generator,DE0 13 biogas,unsustainable biogas,2816247.07106,927283.88179,
Generator,DE0 13 low voltage,solar rooftop,0.39518,3915.49214,3915.49249
Generator,DE0 13 rural heat,rural heat vent,81.19663,29.4877,1.44908
Generator,DE0 13 solid biomass,solid biomass,10000.0,3363469.75965,4861285.26227
Generator,DE0 13 solid biomass,unsustainable solid biomass,4743679.74946,1568622.10328,
Generator,DE0 13 unsustainable bioliquids,unsustainable bioliquids,1327460.06829,437082.50519,
Generator,DE0 13 urban central heat,urban central heat vent,0.06599,9.30584,0.39858
Generator,DE0 13 urban decentral heat,urban decentral heat vent,0.69247,0.28103,0.01344
Generator,DE0 14,onwind,2333.51337,8714.20928,8714.21138
Generator,DE0 14,ror,0.914,0.914,0.914
Generator,DE0 14,solar,3618.15125,3618.41209,3532.12526
Generator,DE0 14,solar-hsat,0.4283,0.92073,0.10997
Generator,DE0 14 biogas,unsustainable biogas,4561659.75423,1492128.28385,
Generator,DE0 14 low voltage,solar rooftop,0.52712,6827.70149,6827.70533
Generator,DE0 14 rural heat,rural heat vent,4.72441,19.43563,0.72088
Generator,DE0 14 solid biomass,solid biomass,10000.0,5453371.00194,8043292.16347
Generator,DE0 14 solid biomass,unsustainable solid biomass,7677450.99336,2518038.98331,
Generator,DE0 14 unsustainable bioliquids,unsustainable bioliquids,2150173.97838,703326.32883,
Generator,DE0 14 urban central heat,urban central heat vent,255.66707,7.94577,0.23536
Generator,DE0 14 urban decentral heat,urban decentral heat vent,14.22573,14.99918,0.77616
Generator,DE0 15,onwind,1851.99869,5059.8472,6916.06137
Generator,DE0 15,ror,61.2854,61.2854,61.2854
Generator,DE0 15,solar,3567.77331,3568.08521,3482.99135
Generator,DE0 15,solar-hsat,1.03163,15194.95418,21677.92502
Generator,DE0 15 biogas,unsustainable biogas,3060895.5393,1033251.7886,
Generator,DE0 15 low voltage,solar rooftop,12.49308,5401.04487,5401.04627
Generator,DE0 15 rural heat,rural heat vent,86.48615,51.00136,1.01205
Generator,DE0 15 solid biomass,solid biomass,10000.0,3369101.07033,4865906.90244
Generator,DE0 15 solid biomass,unsustainable solid biomass,5154896.33331,1746737.91553,
Generator,DE0 15 unsustainable bioliquids,unsustainable bioliquids,1442777.03593,487031.30629,
Generator,DE0 15 urban central heat,urban central heat vent,0.06406,6.82239,0.34141
Generator,DE0 15 urban decentral heat,urban decentral heat vent,0.56246,53.02986,1.03965
Generator,DE0 16,onwind,1421.50415,996.7238,459.97369
Generator,DE0 16,ror,316.7048,316.7048,316.7048
Generator,DE0 16,solar,1534.59014,1534.88394,1498.13245
Generator,DE0 16,solar-hsat,2661.84006,2690.94959,2691.03894
Generator,DE0 16 biogas,unsustainable biogas,2291523.79553,722999.02761,
Generator,DE0 16 low voltage,solar rooftop,0.43032,4925.16619,4925.16754
Generator,DE0 16 rural heat,rural heat vent,18.86882,27.81896,0.98101
Generator,DE0 16 solid biomass,solid biomass,10000.0,2750339.27541,4016363.78734
Generator,DE0 16 solid biomass,unsustainable solid biomass,3861700.33474,1225250.56913,
Generator,DE0 16 unsustainable bioliquids,unsustainable bioliquids,1080127.65122,340791.24251,
Generator,DE0 16 urban central heat,urban central heat vent,60.05628,6.77942,0.70031
