component,bus,carrier,2025,2035,2045
Generator,AT0 0,onwind,3977.2427,3153.11059,1490.58098
Generator,AT0 0,ror,4466.08037,4466.08037,4466.08037
Generator,AT0 0,solar,6832.68805,6833.12816,6811.22069
Generator,AT0 0,solar-hsat,1.90403,21607.14049,32425.52894
Generator,AT0 0 biogas,unsustainable biogas,2495390.95,823479.0135,
Generator,AT0 0 low voltage,solar rooftop,1406.95484,17561.20167,17561.2098
Generator,AT0 0 rural heat,rural heat vent,0.23901,13.94996,7.74768
Generator,AT0 0 solid biomass,solid biomass,10000.0,23163696.45769,34860149.73569
Generator,AT0 0 solid biomass,unsustainable solid biomass,54288687.01,17921966.7133,
Generator,AT0 0 unsustainable bioliquids,unsustainable bioliquids,4624553.2,1526102.556,
Generator,AT0 0 urban central heat,urban central heat vent,0.41528,9.50067,5.65504
Generator,AT0 0 urban decentral heat,urban decentral heat vent,0.26557,38.56484,11.1567
Generator,BE0 0,offwind-ac,2261.90937,2470.16322,2470.16393
Generator,BE0 0,offwind-dc,0.12453,2599.20927,2599.21296
Generator,BE0 0,onwind,3241.76191,7109.70272,7109.70406
Generator,BE0 0,ror,59.01534,59.01534,59.01534
Generator,BE0 0,solar,8547.10541,8547.4911,8547.55741
Generator,BE0 0,solar-hsat,1.08941,5765.75589,24340.03962
Generator,BE0 0 biogas,unsustainable biogas,2693891.79,888984.2907,
Generator,BE0 0 low voltage,solar rooftop,0.65073,23322.20105,23322.21335
Generator,BE0 0 rural heat,rural heat vent,0.19648,16.29278,7.45153
Generator,BE0 0 solid biomass,solid biomass,10000.0,8132067.31807,12552464.10648
Generator,BE0 0 solid biomass,unsustainable solid biomass,13905640.3,4595561.299,
Generator,BE0 0 unsustainable bioliquids,unsustainable bioliquids,5297755.75,1748259.3975,
Generator,BE0 0 urban central heat,urban central heat vent,0.10016,6.94251,2.70794
Generator,BE0 0 urban decentral heat,urban decentral heat vent,0.35984,15.94932,7.81366
Generator,CH0 0,onwind,75.06825,75.04996,27.01738
Generator,CH0 0,ror,4210.8808,4210.8808,4210.8808
Generator,CH0 0,solar,5839.9266,5840.29314,5812.30436
